Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	61	29.756097560975608	1.2777081066220883E-7	NRP1, GALNT16, GALNT18, DYSF, SLC7A11, VLDLR, SLC6A2, PCSK5, CELSR2, SLC8A1, HS6ST3, CREB3L1, ITGB8, ENPP1, CAR12, HS3ST3B1, CHST8, EPHA4, ABCC2, UNC5B, SLC30A4, KREMEN1, ACSL4, UNC5C, SSTR2, SLC39A14, TGFBR2, DNAJC1, PLPP3, PLA2R1, ST6GALNAC5, CD44, EPHA2, GRIA1, PARM1, GPR87, CHRNA7, SLC41A2, NRXN3, TMTC1, TNFRSF11A, APCDD1, SLC7A1, CRHR1, FLRT1, HAS3, SLITRK5, RELT, DRD5, FZD1, GALNT7, SLC8A3, PTPRD, BAMBI, GJB6, UST, FAT3, RETREG1, SDK2, ITM2B, SERINC5	205	3356	22253	1.9730704380941306	1.1524263767970222E-4	3.841642373910413E-5	3.799052103689676E-5
GOTERM_BP_DIRECT	GO:0050808~synapse organization	9	4.390243902439024	1.2886977845224664E-7	PTPRD, SLC8A3, PALLD, CHRNA7, CTNND2, NRXN3, WNT7A, LMX1B, DACT1	202	86	29712	15.393046281372323	2.674978932624139E-4	1.7835577337790935E-5	1.6529696916141506E-5
INTERPRO	IPR020479:HD_metazoa	10	4.878048780487805	1.4335188227606481E-7	DLX2, DLX3, DLX4, MSX2, DLX5, EN1, HOXA1, MSX1, HOXC9, BARX2	203	91	22271	12.05597358306718	1.1023152941280756E-4	2.755939936757346E-5	2.7308533573590347E-5
GOTERM_BP_DIRECT	GO:0060173~limb development	8	3.902439024390244	1.4791605612949138E-7	SMOC1, KREMEN1, RSPO2, WNT7A, EN1, FMN1, SLC7A11, PRICKLE1	202	59	29712	19.94428595401913	3.070266130227317E-4	1.9192108282801506E-5	1.778690574957134E-5
GOTERM_CC_DIRECT	GO:0098978~glutamatergic synapse	23	11.219512195121952	1.481802722706597E-7	GRIA1, NRP1, EPHA4, PCDH9, CTNND2, WNT5A, PRUNE2, NRXN3, WNT7A, VLDLR, PRICKLE1, SIPA1L2, NR3C1, CRHR1, SYT17, PTPRD, PSD2, MAP2, EIF4EBP1, SLITRK5, CPEB2, DRD5, DACT1	204	869	29722	3.856167783569124	3.897065511992981E-5	1.2990470535727834E-5	1.1409880964840796E-5
GOTERM_BP_DIRECT	GO:0035115~embryonic forelimb morphogenesis	7	3.414634146341464	1.7362596587534563E-7	TFAP2A, MSX2, RSPO2, WNT7A, EN1, MSX1, TBX3	202	37	29712	27.827669253411827	3.603825829393559E-4	2.1202794421012797E-5	1.9650374020245E-5
UP_SEQ_FEATURE	REGION:Disordered	156	76.09756097560975	2.0551794430994488E-7	MAPKBP1, GALNT16, CTNND2, NR3C1, CELSR2, HS6ST3, TUBB3, SALL3, CREB3L1, MYC, ENPP1, HOXA1, SOX9, TLE4, MSX2, SFMBT2, ANKRD44, SLC30A4, P3H2, SOX13, LMO7, FNDC3A, LEMD2, KRT9, SYTL2, TIAM2, ISL2, MYCN, SNHG11, LMX1B, PLA2R1, TOX, SKAP2, GRIA1, DLX2, PARM1, DLX3, DLX4, DLX5, SLC41A2, TMTC1, PIK3R1, GATA3, TNFRSF11A, APCDD1, EVPL, ZFP36L2, CACNA1I, NUAK1, PDZD2, MAP2, BTBD3, EIF4EBP1, BMF, HOXC9, RAB11FIP2, 5031439G07RIK, RAB11FIP5, DRD5, BHLHA9, FZD1, TFAP2A, TFAP2B, JUN, SMAD6, PTPRD, BMP4, RALYL, LHX2, RCAN2, UST, SP6, FAT3, CCSER1, SP8, CPEB2, RETREG1, ITM2B, SDK2, NRP1, BNC2, DOCK8, DYSF, FMN1, HOXC13, PCSK6, SIPA1L2, SLC6A2, TTC28, LBH, PSD2, PSTPIP2, SPTLC3, RSPO2, SOSTDC1, DACT1, CHST8, HS3ST3B1, PROSER2, ABCC2, EDN3, UBE2QL1, EN1, GAB2, MYRIP, KLF14, SLC39A14, ETV4, MTSS1, TGFBR2, RGMA, ADAMTS20, DNAH7B, TBC1D1, DNAJC1, PALLD, SOWAHA, PPP1R12B, FJX1, ST6GALNAC5, CD44, ZFP703, HAAO, PRUNE2, NRXN3, NEDD9, PRICKLE1, MESD, BARX2, PTHLH, NFIL3, HAS3, SLITRK5, ZIM1, MSX1, PDLIM5, RELT, VAT1L, GALNT7, IRX1, PCDH9, IRX5, KCNIP1, EYA1, TXNRD1, IRX4, SORBS2, DDHD1, POU4F1, TBX3, VEGFA, SYT17, SMOC1, KIF26B, LNX1, SPRY1	205	13109	22253	1.291783526119646	1.8536002354196945E-4	4.634429644189257E-5	4.5830501581117704E-5
GOTERM_BP_DIRECT	GO:0048706~embryonic skeletal system development	8	3.902439024390244	2.6176531106647036E-7	BMP4, DLX2, DLX3, DLX4, DLX5, WNT5A, HOXC9, PCSK5	202	64	29712	18.386138613861387	5.432772284106324E-4	3.0190265876332913E-5	2.7979803249549385E-5
GOTERM_CC_DIRECT	GO:0005634~nucleus	73	35.609756097560975	3.162421308167807E-7	MAPKBP1, BNC2, CTNND2, DYSF, FMN1, HOXC13, NR3C1, LBH, SALL3, CREB3L1, MYC, HOXA1, SOX9, CPNE2, DACT1, TLE4, MSX2, SFMBT2, SLC39A11, SOX13, UBE2QL1, EN1, LMO7, KLF14, ETV4, TBC1D1, ISL2, DNAJC1, MYCN, PALLD, LMX1B, TOX, DLX2, DLX3, ZFP703, DLX5, NEDD9, PIK3R1, PRICKLE1, GATA3, BARX2, PTHLH, ZFP36L2, NUAK1, PDZD2, NFIL3, BTBD3, SMYD2, HAS3, EIF4EBP1, ZIM1, MSX1, HOXC9, BHLHA9, TFAP2A, IRX1, TFAP2B, JUN, IRX5, EYA1, TXNRD1, IRX4, SMAD6, POU4F1, TBX3, VEGFA, ZFP322A, RALYL, LHX2, RCAN2, SP6, SP8, CPEB2	204	6018	29722	1.7673336200548682	8.316823488629943E-5	2.079292010120333E-5	1.8262983054669087E-5
GOTERM_BP_DIRECT	GO:0045892~negative regulation of DNA-templated transcription	20	9.75609756097561	3.4858963482553776E-7	TLE4, TFAP2A, FZD1, TFAP2B, JUN, MSX2, ZFP703, SFMBT2, WNT5A, SOX13, PRICKLE1, GATA3, NR3C1, TBX3, BMP4, LBH, NFIL3, CREB3L1, MSX1, SOX9	202	702	29712	4.190572903444191	7.234104204485448E-4	3.808800431041139E-5	3.529928723180709E-5
