Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007411~axon guidance	12	5.3097345132743365	9.443619230172856E-7	NGFR, EPHA4, GAP43, TGFB2, CHL1, LHX2, TUBB3, UNC5B, PALLD, WNT5A, UNC5C, GATA3	225	196	26568	7.229387755102041	0.0020264343722434797	7.801882348619728E-5	7.311540580899214E-5
GOTERM_BP_DIRECT	GO:0060173~limb development	8	3.5398230088495577	1.407640510304772E-6	SALL1, KREMEN1, WNT7A, EN1, SLC7A11, PRICKLE1, HOXC13, FERMT2	225	66	26568	14.312727272727273	0.003019047427109345	1.1198562281980187E-4	1.04947420268278E-4
GOTERM_MF_DIRECT	GO:0043565~sequence-specific DNA binding	19	8.4070796460177	1.4354011767119186E-6	TFAP2A, IRX1, TFAP2B, IRX2, MSX2, DLX4, AHR, GATA3, KLF14, NR3C1, POU4F1, ETV4, BARX2, MLXIPL, LHX2, MYC, HOXA1, MSX1, SOX9	222	524	24521	4.005046076610962	6.973622024212256E-4	9.965785312599892E-5	9.637693615065739E-5
SMART	SM00389:HOX	17	7.52212389380531	1.475883335788483E-6	IRX1, DLX1, IRX2, DLX2, DLX3, MSX2, IRX5, DLX4, IRX4, EN1, HOXC13, POU4F1, BARX2, LHX2, HOXA1, MSX1, LMX1B	162	262	10952	4.3865799641881065	2.0807805266709334E-4	2.080995503461761E-4	2.080995503461761E-4
GOTERM_BP_DIRECT	GO:0043524~negative regulation of neuron apoptotic process	12	5.3097345132743365	1.692396348145481E-6	TFAP2A, NGFR, TFAP2B, EPHA4, DLX1, FGF8, CHL1, UNC5B, EN1, POU4F1, RETREG1, CRHR1	225	208	26568	6.8123076923076935	0.003628670836008485	1.2983097699344618E-4	1.2167120888631618E-4
GOTERM_BP_DIRECT	GO:0042733~embryonic digit morphogenesis	8	3.5398230088495577	1.9087661557744003E-6	BMP4, SALL1, MYCN, MSX2, WNT5A, WNT7A, MSX1, PRICKLE1	225	69	26568	13.690434782608696	0.004091639953189508	1.4138033457253144E-4	1.3249469901978854E-4
GOTERM_MF_DIRECT	GO:0000987~cis-regulatory region sequence-specific DNA binding	9	3.982300884955752	2.574676017117765E-6	TFAP2A, ZFP322A, TFAP2B, SALL1, MYC, MSX1, AHR, SOX9, GATA3	222	96	24521	10.355152027027026	0.0012505116130804295	1.5641156803990422E-4	1.512622160056687E-4
GOTERM_BP_DIRECT	GO:0030509~BMP signaling pathway	9	3.982300884955752	2.8971328028161306E-6	BMP4, DLX3, MSX2, WNT5A, SOSTDC1, SOST, MSX1, SMAD6, RGMA	225	104	26568	10.21846153846154	0.006203727201092857	2.0176659203209336E-4	1.8908573080102603E-4
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	12	5.3097345132743365	2.9119014678747177E-6	PTPRD, NEGR1, CDH2, CTNND2, ITGB8, FAT3, SOX9, PRICKLE1, FNDC3A, PLPP3, CDH8, ITGA9	225	220	26568	6.4407272727272735	0.006235253083763714	2.0176659203209336E-4	1.8908573080102603E-4
GOTERM_BP_DIRECT	GO:0090090~negative regulation of canonical Wnt signaling pathway	10	4.424778761061947	3.0864194321325814E-6	TLE4, FZD1, CDH2, WNT5A, KREMEN1, SOSTDC1, SOST, SOX9, PRICKLE1, DACT1	225	140	26568	8.434285714285714	0.006607711597457988	2.0266305674978383E-4	1.8992585346243708E-4
GOTERM_BP_DIRECT	GO:0001843~neural tube closure	9	3.982300884955752	3.1135385813514276E-6	TFAP2A, BMP4, TGFB2, SALL1, TGFB1, LHX2, WNT5A, PRICKLE1, RGMA	225	105	26568	10.121142857142857	0.006665577112073384	2.0266305674978383E-4	1.8992585346243708E-4
