"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"INTERPRO","PH_domain","7","147","263","22338","7.76e-3","1.00e+0","4.04","9.88e-1","1.00e+0","1.82e-3","PLEKHF2,TIAM1,PLEKHG1,IRS2,PHLDA1,SKAP1,DEF6"
"GOTERM_BP_DIRECT","epithelial tube branching involved in lung morphogenesis","3","144","25","26481","8.01e-3","1.98e-1","22.07","1.00e+0","1.93e-1","3.32e-4","SOX2,CTNNB1,HMGA2"
"GOTERM_BP_DIRECT","negative regulation of cellular senescence","3","144","26","26481","8.65e-3","2.09e-1","21.22","1.00e+0","2.04e-1","3.74e-4","PLK2,HMGA2,TRP63"
"UP_SEQ_FEATURE","DOMAIN:EGF-like 6; calcium-binding","3","144","22","22331","8.65e-3","4.22e-1","21.15","9.97e-1","4.19e-1","3.70e-4","JAG2,JAG1,FBLN2"
"KEGG_PATHWAY","Notch signaling pathway","4","76","63","11151","8.69e-3","1.34e-1","9.32","7.39e-1","1.28e-1","8.75e-4","JAG2,JAG1,HES1,DLL1"
"GOTERM_BP_DIRECT","positive regulation of cell adhesion","4","144","78","26481","8.73e-3","2.09e-1","9.43","1.00e+0","2.04e-1","8.76e-4","TPM1,DSG2,ITGAV,SKAP1"
"UP_KW_PTM","Phosphoprotein","82","121","7988","14135","8.85e-3","7.52e-2","1.20","1.33e-1","7.52e-2","7.25e-3","PLEKHF2,PTPRU,CERK,ITGB5,SLC44A1,NCF2,TMEM94,FHL2,ZFP608,IRS2,RORA,ARHGEF10L,AQP4,GRIK1,ARRB1,MSI2,FRY,IRF2BPL,SOX2,1700025G04RIK,EDNRB,PPP1R13L,DPYSL5,PIEZO2,SOX5,PLEKHG1,MBNL1,PRKCH,KLF13,TPM1,TTC7B,ARID5B,ADAM10,KAZN,SLC39A10,FRMD4B,FOXP4,PPRC1,CACNB2,TIAM1,DSG2,KIFC3,PDZRN3,MYL9,SKAP1,PKDCC,INPP1,PELI2,ZFP503,HIF1A,DLL1,FOXO1,SUPT20,LMAN1,FIP1L1,GNA12,NRIP1,KCNN4,ASIC2,FILIP1L,BCL9L,ABCA1,JAG2,UVRAG,RBPMS,GALNT2,PTCH1,PLK2,TPBG,IRX3,HMGA2,NR2F2,MERTK,DEF6,MPP7,IBTK,LIN28A,LHX1,PLXNB2,CTNNB1,STT3B,FGFR3"
"GOTERM_MF_DIRECT","Notch binding","3","143","25","24402","9.24e-3","2.41e-1","20.48","9.66e-1","2.38e-1","4.12e-4","JAG2,JAG1,DLL1"
"GOTERM_CC_DIRECT","cytoplasmic vesicle","8","144","438","26676","9.52e-3","1.63e-1","3.38","8.91e-1","1.54e-1","2.68e-3","PLEKHF2,RNF157,UVRAG,ARRB1,PHLDA1,FGFR3,DLL1,WLS"
"GOTERM_CC_DIRECT","cell junction","6","144","241","26676","9.79e-3","1.63e-1","4.61","8.98e-1","1.54e-1","2.02e-3","TIAM1,PPP1R13L,CTNNB1,AQP4,DSG2,MPP7"
"GOTERM_CC_DIRECT","lateral plasma membrane","4","144","82","26676","9.81e-3","1.63e-1","9.04","8.98e-1","1.54e-1","1.03e-3","GNA12,CTNNB1,DSG2,MPP7"
"GOTERM_BP_DIRECT","proximal/distal pattern formation","3","144","28","26481","9.98e-3","2.28e-1","19.70","1.00e+0","2.23e-1","4.67e-4","CTNNB1,TRP63,DLL1"
"GOTERM_BP_DIRECT","positive regulation of neuroblast proliferation","3","144","28","26481","9.98e-3","2.28e-1","19.70","1.00e+0","2.23e-1","4.67e-4","SOX2,CTNNB1,HIF1A"
"GOTERM_BP_DIRECT","positive regulation of sprouting angiogenesis","3","144","28","26481","9.98e-3","2.28e-1","19.70","1.00e+0","2.23e-1","4.67e-4","DSG2,HIF1A,DLL1"
"UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 2","5","144","131","22331","1.01e-2","4.31e-1","5.92","9.99e-1","4.28e-1","1.61e-3","PTPRU,BOC,CNTN2,MERTK,DSCAML1"
"UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 1","5","144","131","22331","1.01e-2","4.31e-1","5.92","9.99e-1","4.28e-1","1.61e-3","PTPRU,BOC,CNTN2,MERTK,DSCAML1"
"GOTERM_BP_DIRECT","endodermal cell differentiation","3","144","29","26481","1.07e-2","2.33e-1","19.02","1.00e+0","2.27e-1","5.19e-4","ITGB5,HMGA2,ITGAV"
"GOTERM_BP_DIRECT","adrenal gland development","3","144","29","26481","1.07e-2","2.33e-1","19.02","1.00e+0","2.27e-1","5.19e-4","WNT11,HMGA2,ARID5B"
"GOTERM_CC_DIRECT","integrin alphav-beta5 complex","2","144","2","26676","1.07e-2","1.63e-1","185.25","9.17e-1","1.55e-1","2.89e-5","ITGB5,ITGAV"
"GOTERM_BP_DIRECT","cloacal septation","2","144","2","26481","1.08e-2","2.33e-1","183.90","1.00e+0","2.27e-1","2.94e-5","WNT11,TRP63"
"GOTERM_BP_DIRECT","Purkinje myocyte development","2","144","2","26481","1.08e-2","2.33e-1","183.90","1.00e+0","2.27e-1","2.94e-5","IRX3,DSG2"
"GOTERM_BP_DIRECT","positive regulation of MAPK cascade","6","144","246","26481","1.09e-2","2.33e-1","4.49","1.00e+0","2.28e-1","2.32e-3","SOX2,EFNA1,PELI2,CTNNB1,ARRB1,FGFR3"
"GOTERM_CC_DIRECT","integrin complex","3","144","30","26676","1.13e-2","1.63e-1","18.52","9.28e-1","1.55e-1","5.62e-4","ITGB5,PMP22,ITGAV"
"GOTERM_BP_DIRECT","positive regulation of vascular endothelial growth factor production","3","144","30","26481","1.14e-2","2.40e-1","18.39","1.00e+0","2.34e-1","5.74e-4","CYP1B1,RORA,HIF1A"
"GOTERM_BP_DIRECT","cell-cell signaling","4","144","89","26481","1.25e-2","2.59e-1","8.26","1.00e+0","2.53e-1","1.43e-3","WNT11,LHX1,FGFR3,DLL1"
"UP_SEQ_FEATURE","DOMAIN:Protein jagged-1/2 predicted ferredoxin-like","2","144","2","22331","1.28e-2","4.74e-1","155.08","1.00e+0","4.70e-1","4.13e-5","JAG2,JAG1"
"UP_SEQ_FEATURE","DOMAIN:EGF-like 2; atypical","2","144","2","22331","1.28e-2","4.74e-1","155.08","1.00e+0","4.70e-1","4.13e-5","JAG2,JAG1"
"GOTERM_BP_DIRECT","canonical Wnt signaling pathway","4","144","90","26481","1.29e-2","2.61e-1","8.17","1.00e+0","2.55e-1","1.49e-3","EDNRB,WNT11,CTNNB1,BCL9L"
"GOTERM_BP_DIRECT","intracellular glucose homeostasis","3","144","32","26481","1.29e-2","2.61e-1","17.24","1.00e+0","2.55e-1","6.96e-4","ARRB1,HIF1A,KLF15"
"INTERPRO","JAG1_1/2_dom","2","147","2","22338","1.30e-2","1.00e+0","151.96","9.99e-1","1.00e+0","4.30e-5","JAG2,JAG1"
"INTERPRO","Jagged/Serrate","2","147","2","22338","1.30e-2","1.00e+0","151.96","9.99e-1","1.00e+0","4.30e-5","JAG2,JAG1"
