Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	4	4.081632653061225	0.039110140130385634	FGF8, TGFB1, ARHGAP8, FERMT2	97	231	29712	5.304056767974293	1.0	0.46661107779321476	0.4526708298259486
UP_KW_CELLULAR_COMPONENT	KW-0272~Extracellular matrix	5	5.1020408163265305	0.039423214430454	TGFB1, CHL1, ADAMTS18, WNT5A, FREM1	91	265	18649	3.8666804893219986	0.6485737035260662	0.26425883618891893	0.25409503479703743
KEGG_PATHWAY	mmu04918:Thyroid hormone synthesis	3	3.061224489795918	0.03987754249025885	PLCB4, CREB3L1, PLCB1	42	74	9565	9.232625482625481	0.9983871007683142	0.7176144734696237	0.7176144734696237
GOTERM_CC_DIRECT	GO:0005911~cell-cell junction	4	4.081632653061225	0.040100923287442955	NGFR, TEC, PDZD2, CDH2	98	231	29722	5.2517006802721085	0.9991234055462673	0.29424191138670086	0.2737134059411171
GOTERM_BP_DIRECT	GO:0010629~negative regulation of gene expression	5	5.1020408163265305	0.04030450845671661	TGFB1, MYCN, CREB3L1, SOX9, POU4F1	97	398	29712	3.848106511941149	1.0	0.4761463989249365	0.4619212782931541
SMART	SM00353:HLH	4	4.081632653061225	0.04051764131960339	MLXIPL, MYCN, BHLHE40, AHR	76	111	10943	5.188715030820294	0.9663462460906382	0.7791390406817702	0.7791390406817702
KEGG_PATHWAY	mmu04514:Cell adhesion molecules	4	4.081632653061225	0.04087677380523173	CDH2, CLDN23, NRXN3, ITGA9	42	179	9565	5.089119446661345	0.9986317783196922	0.7176144734696237	0.7176144734696237
GOTERM_BP_DIRECT	GO:0007179~transforming growth factor beta receptor signaling pathway	3	3.061224489795918	0.0409323750161383	TGFB1, ADAM9, FERMT2	97	99	29712	9.282099343955014	1.0	0.4774428115401004	0.4631789599090268
GOTERM_CC_DIRECT	GO:0005829~cytosol	22	22.448979591836736	0.04105701089116756	EYA2, HAAO, TXNRD1, AHR, ARHGAP26, NR3C1, PDIA6, BARX2, ZFP36L2, IQCG, MLXIPL, ZFP322A, PDZD2, TEC, RASSF10, PALLD, CREB3L1, AOX3, SPRY1, SLC13A5, FERMT2, SKAP2	98	4363	29722	1.5292884974296848	0.9992614845322586	0.29424191138670086	0.2737134059411171
GOTERM_BP_DIRECT	GO:1990314~cellular response to insulin-like growth factor stimulus	2	2.0408163265306123	0.041206682489768	TGFB1, SLC25A33	97	13	29712	47.12450436161776	1.0	0.4774428115401004	0.4631789599090268
GOTERM_BP_DIRECT	GO:0043525~positive regulation of neuron apoptotic process	3	3.061224489795918	0.041681729541366445	TFAP2A, NR3C1, POU4F1	97	100	29712	9.189278350515464	1.0	0.47834746759377683	0.46405658889387974
UP_KW_MOLECULAR_FUNCTION	KW-0010~Activator	9	9.183673469387756	0.044024290932181465	TFAP2A, ZFP322A, DLX2, NFIL3, EYA2, CREB3L1, AHR, SOX9, SP7	73	687	12454	2.2349703894239394	0.8272462712588359	0.42923683658876927	0.4182307638557239
GOTERM_BP_DIRECT	GO:0031293~membrane protein intracellular domain proteolysis	2	2.0408163265306123	0.044305916759820534	TGFB1, ADAM9	97	14	29712	43.758468335787924	1.0	0.4989591560334929	0.4840524924507496
GOTERM_BP_DIRECT	GO:0003334~keratinocyte development	2	2.0408163265306123	0.044305916759820534	TFAP2A, PALLD	97	14	29712	43.758468335787924	1.0	0.4989591560334929	0.4840524924507496
UP_KW_BIOLOGICAL_PROCESS	KW-0805~Transcription regulation	18	18.367346938775512	0.04513290192717835	TFAP2A, DLX2, EYA2, AHR, KLF14, NR3C1, POU4F1, BARX2, MLXIPL, ZFP322A, SALL1, NFIL3, SALL3, CREB3L1, BHLHE40, SOX9, SP7, RUNX1T1	62	2110	11473	1.57861183305305	0.8562515993539528	0.2773408665839777	0.2773408665839777
UP_KW_CELLULAR_COMPONENT	KW-0770~Synapse	7	7.142857142857142	0.04544362717719898	NGFR, EPHA4, GAP43, NRXN3, SDK2, SHISA7, DACT1	91	537	18649	2.6713937831256267	0.7015709357606831	0.26425883618891893	0.25409503479703743
GOTERM_CC_DIRECT	GO:0001725~stress fiber	3	3.061224489795918	0.04554280681873635	PALLD, ROR1, FERMT2	98	104	29722	8.748626373626372	0.9996703065523507	0.3133345109129061	0.2914739636399126
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	12	12.244897959183673	0.045676199961472944	TIAM2, NGFR, EPHA4, GAP43, FAP, PALLD, KCNB2, NRXN3, ROR1, SORBS2, IQCG, FERMT2	91	1289	18649	1.9078423515972003	0.7034556680436306	0.26425883618891893	0.25409503479703743
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell population proliferation	6	6.122448979591836	0.04576197214458459	MLXIPL, EPHA4, FGF8, TGFB1, SOX9, SLC25A33	97	602	29712	3.0529163955200875	1.0	0.5002763029811195	0.48533028895014824
UP_KW_BIOLOGICAL_PROCESS	KW-0090~Biological rhythms	4	4.081632653061225	0.04622347776399628	NGFR, NFIL3, BHLHE40, AHR	62	151	11473	4.901944029053621	0.8629880749343929	0.2773408665839777	0.2773408665839777
GOTERM_BP_DIRECT	GO:0045906~negative regulation of vasoconstriction	2	2.0408163265306123	0.047395236980106975	AHR, ITGA9	97	15	29712	40.84123711340206	1.0	0.5002763029811195	0.48533028895014824
GOTERM_BP_DIRECT	GO:0085029~extracellular matrix assembly	2	2.0408163265306123	0.047395236980106975	TGFB1, SOX9	97	15	29712	40.84123711340206	1.0	0.5002763029811195	0.48533028895014824
GOTERM_BP_DIRECT	GO:0001759~organ induction	2	2.0408163265306123	0.047395236980106975	FGF8, SPRY1	97	15	29712	40.84123711340206	1.0	0.5002763029811195	0.48533028895014824
GOTERM_BP_DIRECT	GO:0097154~GABAergic neuron differentiation	2	2.0408163265306123	0.047395236980106975	DLX2, SALL1	97	15	29712	40.84123711340206	1.0	0.5002763029811195	0.48533028895014824
GOTERM_BP_DIRECT	GO:0030850~prostate gland development	2	2.0408163265306123	0.047395236980106975	AHR, SOX9	97	15	29712	40.84123711340206	1.0	0.5002763029811195	0.48533028895014824
SMART	SM00326:SH3	5	5.1020408163265305	0.047508478090351844	TEC, SORBS2, ARHGAP26, SKAP2, GAS7	76	199	10943	3.6177598518910337	0.9815238391037285	0.7791390406817702	0.7791390406817702
GOTERM_BP_DIRECT	GO:0007623~circadian rhythm	3	3.061224489795918	0.04785918753158148	NGFR, NFIL3, BHLHE40	97	108	29712	8.508591065292096	1.0	0.5002763029811195	0.48533028895014824
GOTERM_BP_DIRECT	GO:0007264~small GTPase-mediated signal transduction	3	3.061224489795918	0.04785918753158148	TIAM2, DAB1, ARHGAP8	97	108	29712	8.508591065292096	1.0	0.5002763029811195	0.48533028895014824
GOTERM_BP_DIRECT	GO:0045444~fat cell differentiation	3	3.061224489795918	0.048653601551215515	LRRC8C, PLCB1, RUNX1T1	97	109	29712	8.430530596803179	1.0	0.5002763029811195	0.48533028895014824
GOTERM_BP_DIRECT	GO:0043547~positive regulation of GTPase activity	3	3.061224489795918	0.048653601551215515	WNT5A, SNX13, FERMT2	97	109	29712	8.430530596803179	1.0	0.5002763029811195	0.48533028895014824
GOTERM_BP_DIRECT	GO:0045666~positive regulation of neuron differentiation	3	3.061224489795918	0.049452825357729165	NGFR, SALL1, DAB1	97	110	29712	8.353889409559514	1.0	0.5002763029811195	0.48533028895014824
GOTERM_BP_DIRECT	GO:0007229~integrin-mediated signaling pathway	3	3.061224489795918	0.049452825357729165	TEC, FERMT2, ITGA9	97	110	29712	8.353889409559514	1.0	0.5002763029811195	0.48533028895014824
GOTERM_BP_DIRECT	GO:0060070~canonical Wnt signaling pathway	3	3.061224489795918	0.05025682029923086	TGFB1, WNT5A, SOX9	97	111	29712	8.278629144608527	1.0	0.5002763029811195	0.48533028895014824
UP_SEQ_FEATURE	DOMAIN:Homeobox	4	4.081632653061225	0.050425240671987115	IRX2, DLX2, IRX5, POU4F1	98	190	22253	4.780451127819548	0.9999999999993029	0.9529787129650925	0.9494556862997872
GOTERM_BP_DIRECT	GO:0035137~hindlimb morphogenesis	2	2.0408163265306123	0.05047467454206805	SALL1, SALL3	97	16	29712	38.28865979381443	1.0	0.5002763029811195	0.48533028895014824
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	35	35.714285714285715	0.050819006959407484	PRAG1, HAAO, AHR, NR3C1, ZFP36L2, TTC28, RASSF10, AOX3, DACT1, NGFR, EYA2, PLEKHA2, TXNRD1, SLC39A11, SORBS2, DDHD1, ARHGAP26, POU4F1, IQCG, TIAM2, ZFP322A, GAP43, DAB1, TEC, PALLD, RRAGB, BHLHE40, ARHGEF3, LNX1, SPRY1, PLCB1, TRIB2, FERMT2, SKAP2, GAS7	91	5460	18649	1.3136799098337562	0.7423234722350982	0.26425883618891893	0.25409503479703743
GOTERM_BP_DIRECT	GO:0006355~regulation of DNA-templated transcription	8	8.16326530612245	0.05086073024263395	TFAP2A, ZFP322A, NFIL3, AHR, SOX9, NR3C1, POU4F1, RUNX1T1	97	1037	29712	2.363041684478422	1.0	0.5002763029811195	0.48533028895014824
INTERPRO	IPR050460:Distal-less_Homeobox_TF	2	2.0408163265306123	0.05104357357983341	DLX2, DLX4	98	12	22271	37.87585034013605	0.9999999996392531	0.9210036102448204	0.9121264670135449
GOTERM_BP_DIRECT	GO:0007417~central nervous system development	3	3.061224489795918	0.05106554793915161	NGFR, DAB1, SOX9	97	112	29712	8.204712812960235	1.0	0.5002763029811195	0.48533028895014824
UP_SEQ_FEATURE	REPEAT:ANK 14	2	2.0408163265306123	0.051083886646927326	TRPA1, ANKRD44	98	12	22253	37.845238095238095	0.999999999999521	0.9529787129650925	0.9494556862997872
UP_SEQ_FEATURE	REPEAT:ANK 13	2	2.0408163265306123	0.051083886646927326	TRPA1, ANKRD44	98	12	22253	37.845238095238095	0.999999999999521	0.9529787129650925	0.9494556862997872
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	4	4.081632653061225	0.0520961303031873	TGFB1, ADAMTS18, WNT5A, LGR6	98	257	29722	4.720400222345747	0.9998992003671258	0.3446359389287775	0.32059157109653724
KEGG_PATHWAY	mmu04911:Insulin secretion	3	3.061224489795918	0.052264197186776024	PLCB4, CREB3L1, PLCB1	42	86	9565	7.944352159468438	0.9997927037698618	0.7433404278923786	0.7433404278923786
GOTERM_BP_DIRECT	GO:0003323~type B pancreatic cell development	2	2.0408163265306123	0.0535442607204042	CDH2, WNT5A	97	17	29712	36.03638568829594	1.0	0.5040690169381802	0.48900969361056645
GOTERM_BP_DIRECT	GO:0097237~cellular response to toxic substance	2	2.0408163265306123	0.0535442607204042	TRPA1, AHR	97	17	29712	36.03638568829594	1.0	0.5040690169381802	0.48900969361056645
