Category;Term;Count;List Total;Pop Hits;Pop Total;P-Value;Benjamini;Fold Enrichment;Bonferroni;FDR;Fisher Exact;User Ids
GOTERM_BP_DIRECT;mesenchyme development;2;144;15;26481;7.80E-02;6.29E-01;24.52;1.00E+00;6.14E-01;2.94E-03;CTNNB1,BMP7
GOTERM_BP_DIRECT;establishment of epithelial cell polarity;2;144;15;26481;7.80E-02;6.29E-01;24.52;1.00E+00;6.14E-01;2.94E-03;HES1,FRMD4B
GOTERM_BP_DIRECT;somite rostral/caudal axis specification;2;144;15;26481;7.80E-02;6.29E-01;24.52;1.00E+00;6.14E-01;2.94E-03;LHX1,TBX6
GOTERM_BP_DIRECT;response to growth factor;2;144;15;26481;7.80E-02;6.29E-01;24.52;1.00E+00;6.14E-01;2.94E-03;SOX2,ITGB5
GOTERM_BP_DIRECT;cardiac muscle hypertrophy;2;144;15;26481;7.80E-02;6.29E-01;24.52;1.00E+00;6.14E-01;2.94E-03;TIAM1,KCNN4
KEGG_PATHWAY;Fluid shear stress and atherosclerosis;4;76;149;11151;7.88E-02;6.07E-01;3.94;1.00E+00;5.79E-01;1.87E-02;NCF2,CTNNB1,ITGAV,BMPR1B
UP_SEQ_FEATURE;DOMAIN:EGF-like 14;2;143;13;22331;7.96E-02;1.00E+00;24.02;1.00E+00;9.94E-01;3.03E-03;JAG2,JAG1
UP_SEQ_FEATURE;DOMAIN:EGF-like 13;2;143;13;22331;7.96E-02;1.00E+00;24.02;1.00E+00;9.94E-01;3.03E-03;JAG2,JAG1
UP_SEQ_FEATURE;DNA_BIND:Homeobox;5;143;255;22331;8.01E-02;1.00E+00;3.06;1.00E+00;9.94E-01;2.43E-02;MEIS1,LHX1,ALX3,NKX1-1,HOXB1
GOTERM_BP_DIRECT;positive regulation of protein catabolic process;3;144;87;26481;8.05E-02;6.39E-01;6.34;1.00E+00;6.24E-01;1.20E-02;MYLIP,PLK2,FOXO1
GOTERM_BP_DIRECT;blood vessel development;3;144;87;26481;8.05E-02;6.39E-01;6.34;1.00E+00;6.24E-01;1.20E-02;ITGAV,HIF1A,FOXO1
GOTERM_CC_DIRECT;endomembrane system;6;144;428;26676;8.09E-02;5.22E-01;2.6;1.00E+00;4.95E-01;2.90E-02;PLEKHF2,LMAN1,HACE1,RND3,FGFR3,WLS
GOTERM_BP_DIRECT;regulation of blood pressure;3;144;88;26481;8.21E-02;6.39E-01;6.27;1.00E+00;6.24E-01;1.23E-02;EDNRB,GNA12,DLL1
GOTERM_BP_DIRECT;cellular response to glucose stimulus;3;144;88;26481;8.21E-02;6.39E-01;6.27;1.00E+00;6.24E-01;1.23E-02;LIN28A,AQP4,IRS2
GOTERM_BP_DIRECT;endoderm formation;2;144;16;26481;8.30E-02;6.39E-01;22.99;1.00E+00;6.24E-01;3.35E-03;LHX1,CTNNB1
GOTERM_BP_DIRECT;prostate gland development;2;144;16;26481;8.30E-02;6.39E-01;22.99;1.00E+00;6.24E-01;3.35E-03;PTCH1,TRP63
GOTERM_BP_DIRECT;wound healing, spreading of epidermal cells;2;144;16;26481;8.30E-02;6.39E-01;22.99;1.00E+00;6.24E-01;3.35E-03;ITGB5,ITGAV
GOTERM_BP_DIRECT;cardiac septum morphogenesis;2;144;16;26481;8.30E-02;6.39E-01;22.99;1.00E+00;6.24E-01;3.35E-03;JAG1,BMP7
GOTERM_BP_DIRECT;negative regulation of oligodendrocyte differentiation;2;144;16;26481;8.30E-02;6.39E-01;22.99;1.00E+00;6.24E-01;3.35E-03;CTNNB1,HES1
GOTERM_MF_DIRECT;transmembrane receptor protein serine/threonine kinase activity;2;143;15;24402;8.38E-02;9.27E-01;22.75;1.00E+00;9.17E-01;3.41E-03;BMPR1B,LY6G6E
